H1size,H1error,rho_Tsize,rho_T,rho_Ssize,rho_S,rho_Esize,rho_E,rho_Asize,rho_A,stdEst,newEst,relation
20,0.00433179,20,0.042947,8,13.5476,36,0.0037546,8,0.00372922,0.0431108,13.5477,9.95217
44,0.915416,44,8.75067,16,95.4923,76,0.748049,16,0.555673,8.78258,95.8969,9.59409
68,3.59661,68,36.4812,24,77.3682,112,3.08591,24,1.5701,36.6115,85.6079,10.1794
140,6.59887,140,51.7226,48,39.9287,232,5.30629,48,2.18555,51.9941,65.5931,7.87924
284,7.84374,284,50.7345,96,13.6266,472,6.8903,96,2.09792,51.2003,53.0241,6.52753
572,7.13185,572,33.8475,192,4.45306,952,7.12408,192,1.696,34.5891,34.9158,4.84996
764,5.7434,764,22.6521,256,1.99449,1276,7.08114,256,1.51811,23.7331,23.8651,4.13224
1532,3.40115,1532,12.5238,512,0.682403,2556,5.82104,512,1.01408,13.8105,13.8645,4.06054
4076,2.2258,4076,8.0124,1024,0.237091,7108,4.41643,1024,0.596819,9.14896,9.17147,4.11042
7268,1.6479,7268,5.84704,1352,0.201041,13172,3.16587,1352,0.528883,6.64911,6.67314,4.0349
14420,1.12039,14420,3.93359,2048,0.0830742,26776,2.26243,2048,0.325158,4.53781,4.5502,4.05019
27092,0.828466,27092,2.8983,3320,0.0560882,50824,1.70098,3320,0.242325,3.36058,3.36977,4.05639
55460,0.565768,55460,1.97164,4096,0.0292375,106772,1.17383,4096,0.169862,2.29462,2.30108,4.05576
